No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length
159,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1038
160,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
161,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
162,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
163,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
164,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
165,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
166,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
167,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
168,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
169,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
170,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
171,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
172,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
173,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
174,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
175,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
176,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
177,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
178,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
179,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
180,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
181,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
182,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
183,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
184,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
185,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
186,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
187,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
188,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
189,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
